id,product_name,rating,review_text,review_date
1,스마트폰 A,5,디자인이 정말 예쁘고 성능도 좋아요. 배터리 지속시간이 길어서 만족합니다.,2023-01-15
2,스마트폰 A,4,화면이 선명하고 카메라 성능이 좋습니다. 다만 발열이 조금 있어요.,2023-01-20
3,스마트폰 A,2,배송은 빨랐지만 제품에 흠집이 있었어요. 고객센터 응대도 별로였습니다.,2023-01-25
4,스마트폰 A,1,사용 일주일 만에 화면에 문제가 생겼어요. 매우 실망스럽습니다.,2023-02-01
5,스마트폰 A,5,가성비 최고예요! 이 가격에 이런 성능이라니 놀랍습니다.,2023-02-05
6,스마트폰 A,3,평범한 성능입니다. 특별히 좋거나 나쁘지는 않아요.,2023-02-10
7,스마트폰 A,4,UI가 직관적이고 사용하기 편리합니다. 속도도 빨라요.,2023-02-15
8,스마트폰 A,5,카메라 성능이 정말 뛰어납니다. 야간 촬영도 선명해요!,2023-02-20
9,스마트폰 A,2,기대했던 것보다 배터리가 빨리 닳아요. 충전도 느립니다.,2023-02-25
10,스마트폰 A,4,전반적으로 만족합니다. 가벼워서 휴대하기 좋아요.,2023-03-01
11,스마트폰 B,5,디자인이 고급스럽고 손에 잘 맞아요. 성능도 만족스럽습니다.,2023-03-05
12,스마트폰 B,3,가격대비 성능은 괜찮지만 특별한 점은 없어요.,2023-03-10
13,스마트폰 B,4,화면 크기가 적당하고 해상도도 좋습니다. 다만 좀 무거워요.,2023-03-15
14,스마트폰 B,1,첫날부터 오류가 많이 발생했어요. 매우 불만족스럽습니다.,2023-03-20
15,스마트폰 B,5,메모리 용량이 넉넉해서 좋아요. 게임할 때도 끊김없이 잘 돌아갑니다.,2023-03-25
16,스마트폰 B,2,터치 반응이 늦고 가끔 멈춰요. 업데이트가 필요합니다.,2023-04-01
17,스마트폰 B,4,음질이 좋고 스피커 성능이 뛰어납니다. 영화 볼 때 좋아요.,2023-04-05
18,스마트폰 B,5,방수 기능이 있어서 안심이 됩니다. 튼튼한 느낌이에요.,2023-04-10
19,스마트폰 B,3,카메라는 보통이지만 배터리가 오래가서 괜찮아요.,2023-04-15
20,스마트폰 B,4,빠른 충전 속도가 장점입니다. 30분이면 50% 이상 충전돼요.,2023-04-20
